ID,Unnamed: 0,Name S,Gender,Age,Height,Weight,Season,Country,Sport,Event,Medal
132765,265291,Yuliya Andreyevna Yefimova,female,24Year,178,64,Summer,France,Swimming,Swimming Women's 200 metres Breaststroke,Silver
132776,265312,Julius Kiplagat Yego,male,27Year,175,94,Summer,France,Athletics,Athletics Men's Javelin Throw,Silver
132813,265406,Daniyar Maratovich Yeleusinov,male,25Year,178,64,Summer,France,Boxing,Boxing Men's Welterweight,Gold
132899,265601,Tatyana Vladimirova Yerokhina,female,31Year,185,73,Summer,France,Handball,Handball Women's Handball,Gold
132989,265783,Yin Junhua,female,25Year,167,60,Summer,Egypt,Boxing,Boxing Women's Lightweight,Silver
133031,265879,Tony Victor James Yoka,male,24Year,200,105,Summer,Egypt,Boxing,Boxing Men's Super-Heavyweight,Gold
133130,266103,Saori Yoshida,female,33Year,157,55,Summer,Egypt,Wrestling,"Wrestling Women's Featherweight, Freestyle",Silver
133174,266171,You Hao,male,24Year,162,60,Summer,Egypt,Gymnastics,Gymnastics Men's Team All-Around,Bronze
133402,266669,Yuan Xinyue,female,19Year,201,78,Summer,Egypt,Volleyball,Volleyball Women's Volleyball,Gold
133577,266984,Grce Zaadi Deuna,female,23Year,171,66,Summer,England,Handball,Handball Women's Handball,Silver
133931,267709,Arthur Nabarrete Zanetti,male,26Year,156,61,Summer,England,Gymnastics,Gymnastics Men's Rings,Silver
134145,268133,Ivan Zaytsev,male,27Year,204,100,Summer,England,Volleyball,Volleyball Men's Volleyball,Silver
134431,268706,Zhang Changning,female,20Year,193,79,Summer,England,Volleyball,Volleyball Women's Volleyball,Gold
134433,268713,Zhang Chenglong,male,27Year,173,65,Summer,England,Gymnastics,Gymnastics Men's Team All-Around,Bronze
134448,268744,Zhang Fengliu,female,26Year,172,77,Summer,England,Wrestling,"Wrestling Women's Heavyweight, Freestyle",Bronze
134559,268944,Zhang Wenxiu,female,30Year,183,105,Summer,Colombia,Athletics,Athletics Women's Hammer Throw,Silver
134663,269117,Zhao Shuai,male,20Year,188,63,Summer,Colombia,Taekwondo,Taekwondo Men's Flyweight,Gold
134740,269277,Zheng Shuyin,female,22Year,188,75,Summer,Colombia,Taekwondo,Taekwondo Women's Heavyweight,Gold
134759,269312,Viktoriya Yuryevna Zhilinskayte,female,27Year,188,80,Summer,Colombia,Handball,Handball Women's Handball,Gold
134776,269352,Valeriya Sergeyevna Zholobova-Koblova,Female,23Year,164,58,Summer,Bolivia,Wrestling,"Wrestling Women's Lightweight, Freestyle",Silver
134857,269511,Zhu Ting,Female,21Year,198,78,Summer,Bolivia,Volleyball,Volleyball Women's Volleyball,Gold
135132,270111,Bojana ivkovi,Female,28Year,186,72,Summer,Bolivia,Volleyball,Volleyball Women's Volleyball,Silver
135205,270281,Shakhobiddin Shokirovich Zoirov,male,23Year,169,52,Summer,Bolivia,Boxing,Boxing Men's Flyweight,Gold
837,1514,Rachael Alexis Adams,female,26Year,188,81,Summer,Iran,Volleyball,Volleyball Women's Volleyball,Bronze
846,1529,Valerie Kasanita Adams-Vili (-Price),female,31Year,193,120,Summer,Iran,Athletics,Athletics Women's Shot Put,Silver
1017,1847,Nathan Ghar-Jun Adrian,male,27Year,198,100,Summer,Brazil,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1017,1848,Nathan Ghar-Jun Adrian,male,27Year,198,100,Summer,Brazil,Swimming,Swimming Men's 100 metres Freestyle,Bronze
133174,266171,You Hao,male,24Year,162,60,Summer,Egypt,Gymnastics,Gymnastics Men's Team All-Around,Bronze
133402,266669,Yuan Xinyue,female,19Year,201,78,Summer,Egypt,Volleyball,Volleyball Women's Volleyball,Gold
133577,266984,Grce Zaadi Deuna,female,23Year,171,66,Summer,England,Handball,Handball Women's Handball,Silver
133931,267709,Arthur Nabarrete Zanetti,male,26Year,156,61,Summer,England,Gymnastics,Gymnastics Men's Rings,Silver
